taxi_dropoff_ratio_morning_peak,heating_resource,max_area_use,min_floor,parking_lot_under,pop_ratio_60s_man,max_area_supply,uuid,addr_street,pop,coord,pop_density_10s,parking_per_house,heating,addr,completion,taxi_dropoff_ratio,sectors,constructor,min_area_supply,households,slope,community,apartment_status,name,floor_area_ratio,min_area_use,slope_ratio,geometry,average_income_year,max_floor,parking_lot
0.2857,열병합,140.04,10층,0,0.106542056,153.62,apartment_1165010635,서울시 서초구 잠원로 88,535,POINT(127.008577 37.512227),0.108411215,1.0,지역난방,서울시 서초구 잠원동 65-32,1980,0.5417,3동,한신공영(주),116.4,320,1,0,재건축,신반포7차아파트,900.0,107.29,1.331,POINT (127.008577 37.512227),5484,10층,0
0.0909,도시가스,114.98,7층,1,0.046,155.53,apartment_1165010310,서울시 서초구 태봉로2길 30,500,POINT(127.026712 37.461495),0.118,1.12,개별난방,서울시 서초구 우면동 737,2013,0.3125,7동,(주)태영건설,81.93,382,1,0,아파트,서초네이처힐6단지아파트,0.0,59.99,1.655,POINT (127.026712 37.461495),10730,17층,0
0.25,도시가스,58.48,24층,1,0.042592593,78.09,apartment_1165010840,서울시 서초구 효령로53길 45,540,POINT(127.012987 37.486602),0.012962963,0.72,개별난방,서울시 서초구 서초동 1593-7,2003,0.4359,1동,경남기업(주),48.96,462,1,0,아파트,서초이오빌아파트,600.0,36.66,1.96,POINT (127.012987 37.486602),2231,24층,0
0.7273,열병합,185.46,12층,0,0.064257028,202.95,apartment_1165010118,서울시 서초구 방배로 270,498,POINT(126.989672 37.497434),0.138554217,0.0,지역난방,서울시 서초구 방배동 725,1983,0.7143,6동,삼호주택,113.05,481,1,0,아파트,삼호4차아파트,700.0,105.04,4.556,POINT (126.989672 37.497434),17449,13층,0
0.3333,도시가스,100.82,10층,1,0.065259117,128.29,apartment_1165010103,서울시 서초구 방배로2길 24-6,521,POINT(127.002687 37.476288),0.061420345,0.0,중앙난방,서울시 서초구 방배동 1011-1,1988,0.4444,4동,임광토건(주),58.25,316,0,1,아파트,임광3차아파트,700.0,44.61,6.548,POINT (127.002687 37.476288),6833,10층,0
0.25,도시가스,136.38,11층,0,0.0968523,160.67,apartment_1165010104,서울시 서초구 방배로 14,413,POINT(127.002419 37.476908),0.101694915,1.1,중앙난방,서울시 서초구 방배동 1015,1985,0.5455,6동,임광토건(주),116.28,418,0,0,아파트,"임광1,2차아파트",700.0,84.78,5.717,POINT (127.002419 37.476908),11318,11층,0
0.5,도시가스,114.94,7층,0,0.058275058,135.51,apartment_1165010113,서울시 서초구 방배선행길 2,429,POINT(126.984172 37.47268),0.104895105,1.26,개별난방,서울시 서초구 방배동 2626,2003,0.5,9동,삼성물산(주),78.51,303,0,0,아파트,방배래미안아파트,600.0,59.9,8.797,POINT (126.984172 37.47268),5950,10층,0
0.1538,도시가스,134.96,22층,0,0.063116371,158.44,apartment_1165010117,서울시 서초구 남부순환로 2183,507,POINT(126.991265 37.47484),0.116370809,1.86,개별난방,서울시 서초구 방배동 485-3,2005,0.4167,4동,삼성물산(주),124.65,344,0,1,아파트,방배래미안타워아파트,500.0,102.93,3.447,POINT (126.991265 37.47484),15767,22층,0
0.3571,도시가스,84.91,11층,1,0.061032864,97.39,apartment_1165010108,서울시 서초구 효령로 84,426,POINT(126.993675 37.479789),0.124413146,1.0,개별난방,서울시 서초구 방배동 1038,1992,0.5385,6동,대우(주),97.39,364,0,0,아파트,대우효령아파트,400.0,84.91,13.781,POINT (126.993675 37.479789),6179,13층,0
0.25,도시가스,151.54,12층,1,0.047619048,163.47,apartment_1165010105,서울시 서초구 효령로34길 79,609,POINT(127.001481 37.479459),0.090311987,1.08,중앙난방,서울시 서초구 방배동 1018-1,1981,0.5,4동,삼익주택건설,94.54,408,1,0,아파트,삼익아파트,700.0,88.26,3.568,POINT (127.001481 37.479459),11915,15층,0
0.4,도시가스,175.14,13층,0,0.112266112,199.34,apartment_1165010139,서울시 서초구 효령로 164,481,POINT(127.001343 37.481269),0.054054054,1.0,중앙난방,서울시 서초구 방배동 988-1,1982,0.6364,6동,신동아건설(주),109.43,493,1,0,아파트,신동아아파트,400.0,102.65,2.57,POINT (127.001343 37.481269),13433,15층,1
0.2857,도시가스,114.93,14층,0,0.039622642,163.44,apartment_1165010308,서울시 서초구 태봉로2길 65,530,POINT(127.02631 37.463718),0.167924528,1.14,개별난방,서울시 서초구 우면동 720,2011,0.4571,7동,진흥기업(주),115.84,409,1,0,아파트,서초네이처힐4단지아파트,100.0,84.61,2.835,POINT (127.02631 37.463718),6152,15층,0
0.5,열병합,143.03,11층,1,0.069400631,154.86,apartment_1165010623,서울시 서초구 나루터로4길 61,634,POINT(127.013648 37.510287),0.105678233,2.0,지역난방,서울시 서초구 잠원동 58-24,1981,0.5,4동,한신공영(주),82.34,398,1,1,재건축,신반포11차아파트,1100.0,76.4,3.074,POINT (127.013648 37.510287),1060,12층,0
0.1111,도시가스,84.79,6층,0,0.046703297,123.42,apartment_1165011103,서울시 서초구 청계산로11길 7-12,364,POINT(127.056906 37.448747),0.054945055,0.0,개별난방,서울시 서초구 신원동 615,2013,0.1818,10동,"한신공영(주), 에이스종합건설(주)",87.67,310,1,1,아파트,서초포레스타7단지아파트,100.0,59.81,3.59,POINT (127.056906 37.448747),7968,7층,0
0.3611,도시가스,84.54,14층,1,0.04,113.1,apartment_1165010639,서울시 서초구 잠원로 85,450,POINT(127.006039 37.511737),0.16,1.03,개별난방,서울시 서초구 잠원동 71-1,1999,0.4909,1동,(주)청구,80.07,125,1,1,아파트,블루힐하우스아파트,800.0,59.85,1.707,POINT (127.006039 37.511737),13309,19층,0
0.2857,열병합,149.45,25층,1,0.068965517,187.11,apartment_1165010848,서울시 서초구 서초중앙로24길 57,435,POINT(127.019738 37.496912),0.112643678,1.53,지역난방,서울시 서초구 서초동 1681-8,2014,0.4792,3동,롯데건설(주),111.05,280,1,1,아파트,서초롯데캐슬프레지던트아파트,1000.0,84.97,10.582,POINT (127.019738 37.496912),24732,31층,0
0.2353,열병합,84.96,11층,0,0.047722343,103.18,apartment_1165010844,서울시 서초구 사임당로23길 53,461,POINT(127.020717 37.492965),0.125813449,0.92,지역난방,서울시 서초구 서초동 1641-13,1988,0.375,2동,아남건설(주),92.08,166,1,0,아파트,아남아파트,700.0,71.1,5.885,POINT (127.020717 37.492965),13534,13층,0
0.3333,열병합,88.93,19층,1,0.063218391,114.62,apartment_1165010724,서울시 서초구 사평대로 310-4,174,POINT(127.016172 37.503301),0.17816092,1.62,지역난방,서울시 서초구 반포동 30-15,2021,0.5455,2동,동부건설(주),76.58,108,1,1,아파트,반포센트레빌아스테리움아파트,1100.0,59.99,3.535,POINT (127.016172 37.503301),16905,20층,0
0.1333,열병합,109.88,11층,0,0.047976012,120.96,apartment_1165010632,서울시 서초구 잠원로8길 20,667,POINT(127.010224 37.514322),0.133433283,0.0,지역난방,서울시 서초구 잠원동 61-2,1982,0.36,2동,한신공영(주),88.42,242,1,1,재건축,신반포19차아파트,900.0,80.25,1.94,POINT (127.010224 37.514322),12745,11층,0
0.1429,열병합,114.84,8층,1,0.039360394,144.29,apartment_1165010845,서울시 서초구 사임당로19길 10,813,POINT(127.019951 37.491021),0.131611316,1.17,지역난방,서울시 서초구 서초동 1648-2,1999,0.4167,2동,고려산업개발(주),72.72,299,1,0,아파트,서초현대아파트,700.0,53.01,4.332,POINT (127.019951 37.491021),11946,16층,0
0.5217,도시가스,84.52,13층,1,0.069400631,104.2,apartment_1165010625,서울시 서초구 신반포로 261,634,POINT(127.012838 37.509064),0.105678233,1.0,개별난방,서울시 서초구 잠원동 59-3,1997,0.5588,1동,현대건설(주),73.43,113,1,1,아파트,잠원현대훼밀리아파트,1100.0,59.56,7.297,POINT (127.012838 37.509064),9742,17층,0
0.4545,도시가스,115.3,8층,1,0.066298343,147.27,apartment_1165010830,서울시 서초구 남부순환로323길 38-15,543,POINT(127.013844 37.482482),0.116022099,1.46,개별난방,서울시 서초구 서초동 1454-29,2001,0.5652,2동,한신공영(주),113.63,194,1,0,아파트,서초한신아파트,600.0,84.99,3.464,POINT (127.013844 37.482482),6140,15층,0
0.0714,도시가스,84.56,10층,1,0.037766831,93.78,apartment_1165010634,서울시 서초구 신반포로33길 64,609,POINT(127.009021 37.513356),0.157635468,1.15,지역난방,서울시 서초구 잠원동 63-34,1992,0.3478,2동,한신공영(주),90.37,208,1,0,아파트,한신로얄아파트,900.0,81.05,2.211,POINT (127.009021 37.513356),10150,13층,0
0.2353,열병합,78.39,9층,1,0.065891473,98.02,apartment_1165010627,서울시 서초구 나루터로4길 70-5,258,POINT(127.01147 37.50951),0.108527132,0.0,지역난방,서울시 서초구 잠원동 60-4,1989,0.3684,1동,한신공영,79.93,110,1,1,아파트,한신타운아파트,1100.0,63.94,1.602,POINT (127.01147 37.50951),6130,15층,0
0.4474,도시가스,52.47,6층,0,0.063356164,73.06,apartment_1165010304,서울시 서초구 바우뫼로 53,584,POINT(127.027654 37.472577),0.035958904,1.02,개별난방,서울시 서초구 우면동 70,1994,0.6292,6동,코오롱건설(주),73.06,300,1,0,아파트,코오롱아파트,500.0,52.47,3.934,POINT (127.027654 37.472577),9329,6층,0
0.9216,도시가스,59.98,6층,0,0.074650078,78.93,apartment_1165010303,서울시 서초구 바우뫼로 33,643,POINT(127.025664 37.471696),0.069984448,0.87,개별난방,서울시 서초구 우면동 67,1994,0.6736,7동,한라건설(주),78.93,252,1,1,아파트,우면한라아파트,500.0,59.98,2.674,POINT (127.025664 37.471696),12082,6층,0
0.3333,열병합,131.99,8층,0,0.039358601,159.58,apartment_1165010640,서울시 서초구 잠원로3길 8,686,POINT(127.00606 37.51098),0.150145773,1.0,중앙난방,서울시 서초구 잠원동 71-11,1996,0.5556,2동,한신공영(주),83.77,250,1,0,아파트,반포한신타워아파트,800.0,59.4,2.726,POINT (127.00606 37.51098),5619,18층,0
0.1111,도시가스,130.53,6층,0,0.089552239,158.86,apartment_1165010833,서울시 서초구 명달로6길 31,469,POINT(127.006941 37.481181),0.142857143,2.03,개별난방,서울시 서초구 서초동 1487-63,2004,0.2703,2동,대림산업(주),158.86,154,1,1,아파트,서초e-편한세상1차아파트,500.0,130.53,5.028,POINT (127.006941 37.481181),26592,15층,0
0.3333,도시가스,37.58,14층,0,0.032178218,55.09,apartment_1165010641,서울시 서초구 잠원로3길 6,404,POINT(127.00647 37.510812),0.034653465,0.86,개별난방,서울시 서초구 잠원동 71-12,1996,0.5714,1동,시대종합건설,34.79,160,1,0,아파트,킴스빌리지아파트,800.0,23.7,1.699,POINT (127.00647 37.510812),5619,15층,0
0.5488,도시가스,78.58,8층,0,0.082539683,100.47,apartment_1165010846,서울시 서초구 서초중앙로22길 25,315,POINT(127.01552 37.49346),0.0,0.8,개별난방,서울시 서초구 서초동 1671-5,2003,0.4685,1동,대림산업(주),33.21,293,1,0,아파트,서초리시온아파트,500.0,25.98,1.004,POINT (127.01552 37.49346),8652,14층,0
0.1875,열병합,151.11,14층,1,0.072687225,193.84,apartment_1165010609,서울시 서초구 잠원로14길 3,454,POINT(127.016502 37.520366),0.171806167,1.83,개별난방,서울시 서초구 잠원동 50,2002,0.4255,5동,롯데건설(주),140.41,256,1,0,아파트,롯데캐슬갤럭시1차아파트,900.0,106.15,2.548,POINT (127.016502 37.520366),12661,25층,0
0.5,도시가스,126.52,7층,1,0.075566751,152.02,apartment_1165010841,서울시 서초구 사임당로10길 39,397,POINT(127.01673 37.48748),0.093198992,1.74,개별난방,서울시 서초구 서초동 1620-20,2005,0.6207,3동,롯데건설주식회사,81.94,132,1,1,아파트,서초롯데캐슬리버티아파트,600.0,62.85,5.578,POINT (127.01673 37.48748),13442,12층,0
0.2527,도시가스,163.95,12층,1,0.041666667,215.62,apartment_1165010817,서울시 서초구 효령로77길 20,384,POINT(127.029439 37.490982),0.140625,1.76,중앙난방,서울시 서초구 서초동 1338,2002,0.3529,1동,현대건설(주),131.58,122,1,1,아파트,현대ESA아파트,1300.0,100.06,1.291,POINT (127.029439 37.490982),17669,18층,0
0.2667,도시가스,84.85,16층,1,0.034907598,109.7,apartment_1165010616,서울시 서초구 잠원로14길 54,487,POINT(127.013735 37.515721),0.168377823,1.0,개별난방,서울시 서초구 잠원동 54-7,1997,0.3269,1동,신화건설(주),76.94,166,1,0,아파트,신화아파트,900.0,57.33,1.406,POINT (127.013735 37.515721),8175,18층,0
0.2963,열병합,140.36,9층,0,0.064,166.07,apartment_1165010620,서울시 서초구 나루터로 46,375,POINT(127.014155 37.514715),0.136,1.84,지역난방,서울시 서초구 잠원동 58,2002,0.3864,2동,금호산업(주),101.34,117,1,1,아파트,금호베스트빌아파트,600.0,84.97,1.627,POINT (127.014155 37.514715),7026,17층,0
0.2745,도시가스,244.97,2층,1,0.08319739,355.48,apartment_1165010807,서울시 서초구 서운로 122,613,POINT(127.02585 37.494845),0.061990212,5.11,중앙난방,서울시 서초구 서초동 1326,2000,0.4512,3동,삼성물산(주)주택부문,236.14,141,1,1,아파트,삼성서초가든스위트아파트,1600.0,162.73,2.968,POINT (127.02585 37.494845),3601,23층,0
0.1111,도시가스,84.77,5층,1,0.062992126,120.25,apartment_1165010309,서울시 서초구 태봉로2길 10,635,POINT(127.023282 37.461908),0.077165354,1.12,개별난방,서울시 서초구 우면동 735,2011,0.2308,5동,(주)태영건설,85.73,275,1,0,아파트,서초네이처힐7단지아파트,100.0,59.99,4.202,POINT (127.023282 37.461908),4188,17층,0
0.1613,열병합,84.49,12층,1,0.020338983,118.82,apartment_1165010618,서울시 서초구 잠원로8길 3,295,POINT(127.009682 37.515948),0.054237288,0.5,지역난방,서울시 서초구 잠원동 56-2,1985,0.2931,1동,한신공영(주),58.06,156,1,0,아파트,신반포27차아파트,900.0,53.46,1.543,POINT (127.009682 37.515948),775,12층,0
0.3214,열병합,140.03,9층,0,0.0,172.27,apartment_1165010850,서울시 서초구 고무래로 94,80,POINT(127.017344 37.500145),0.1625,1.48,지역난방,서울시 서초구 서초동 1684,2000,0.5122,3동,현대산업개발(주),67.04,160,1,0,아파트,서초현대4차아파트,1200.0,52.36,7.911,POINT (127.017344 37.500145),16042,18층,0
0.6833,열병합,244.14,6층,0,0.067375887,285.61,apartment_1165010805,서울시 서초구 강남대로61길 23,564,POINT(127.024443 37.498107),0.115248227,2.56,지역난방,서울시 서초구 서초동 1316-15,2002,0.64,1동,성우종합건설(주),156.17,138,1,1,아파트,현대성우아파트,1000.0,133.48,3.452,POINT (127.024443 37.498107),14811,24층,0
0.3553,도시가스,84.97,15층,1,0.039711191,107.6,apartment_1165010815,서울시 서초구 강남대로 321,277,POINT(127.030121 37.4916),0.061371841,1.75,개별난방,서울시 서초구 서초동 1337-22,2005,0.3722,1동,(주)대우건설,56.35,112,1,1,아파트,서초대우디오빌프라임아파트,1300.0,44.5,1.09,POINT (127.030121 37.4916),8868,15층,0
0.125,도시가스,114.9,5층,0,0.104874446,153.03,apartment_1165011105,서울시 서초구 헌릉로8길 10-12,677,POINT(127.057657 37.456285),0.048744461,1.51,개별난방,서울시 서초구 신원동 557,2014,0.1667,9동,현대엔지니어링주식회사,114.32,256,1,1,아파트,힐스테이트서초젠트리스아파트,200.0,84.95,4.928,POINT (127.057657 37.456285),3380,9층,0
0.3333,열병합,150.25,16층,1,0.071428571,191.27,apartment_1165010843,서울시 서초구 사임당로17길 116,560,POINT(127.019471 37.493179),0.096428571,1.59,지역난방,서울시 서초구 서초동 1641-1,2001,0.375,3동,삼성물산(주),108.06,299,1,0,아파트,서초삼성래미안아파트,500.0,84.89,11.414,POINT (127.019471 37.493179),11610,16층,0
0.5556,도시가스,84.82,12층,1,0.034433286,108.81,apartment_1165010701,서울시 서초구 신반포로15길 4,697,POINT(126.995819 37.503757),0.18794835,1.05,개별난방,서울시 서초구 반포동 10,2000,0.5278,3동,(주)대우,64.17,237,1,1,아파트,반포푸르지오아파트,500.0,50.02,2.05,POINT (126.995819 37.503757),7158,12층,0
0.3939,열병합,155.55,11층,1,0.048920863,198.6,apartment_1165010819,서울시 서초구 효령로72길 57,695,POINT(127.028329 37.486801),0.113669065,1.66,개별난방,서울시 서초구 서초동 1344-13,2005,0.4667,3동,삼성물산(주),93.71,257,1,1,아파트,서초트라팰리스아파트,800.0,73.42,2.683,POINT (127.028329 37.486801),23059,25층,0
0.2308,도시가스,84.96,10층,0,0.051282051,110.9,apartment_1165010135,서울시 서초구 방배로13길 18,390,POINT(126.995144 37.483208),0.051282051,1.64,개별난방,서울시 서초구 방배동 923-6,2007,0.4286,2동,대림산업㈜,65.64,116,1,1,아파트,방배아크로타워아파트,400.0,51.35,1.857,POINT (126.995144 37.483208),6600,10층,0
0.5,도시가스,75.44,16층,0,0.032882012,104.9,apartment_1165010642,서울시 서초구 잠원로3길 20,517,POINT(127.004806 37.51006),0.143133462,1.0,개별난방,서울시 서초구 잠원동 71-17,1998,0.6364,1동,중앙건설,83.33,126,1,1,아파트,잠원중앙하이츠(B동)아파트,800.0,59.93,2.656,POINT (127.004806 37.51006),18472,16층,0
0.3889,도시가스,149.22,24층,1,0.072413793,174.16,apartment_1165010119,서울시 서초구 방배중앙로 207-10,290,POINT(126.984444 37.497695),0.144827586,1.68,개별난방,서울시 서초구 방배동 752-36,2004,0.5,4동,대림산업(주),98.9,222,1,0,아파트,방배아크로리버아파트,400.0,84.74,1.5,POINT (126.984444 37.497695),12005,25층,0
0.5,도시가스,244.87,9층,1,0.094777563,277.18,apartment_1165010126,서울시 서초구 동광로 89-5,517,POINT(126.991489 37.494386),0.061895551,3.3,개별난방,서울시 서초구 방배동 797-30,2006,0.6364,5동,대림산업(주),231.63,192,0,1,아파트,방배e-편한세상3차아파트,500.0,198.53,6.908,POINT (126.991489 37.494386),155896,15층,0
0.3,열병합,169.55,13층,0,0.097315436,183.98,apartment_1165010812,서울시 서초구 서운로 79,298,POINT(127.026042 37.490504),0.087248322,1.0,지역난방,서울시 서초구 서초동 1334-1,1979,0.3333,1동,신동아건설,156.46,104,1,0,재건축,신동아2차아파트,1300.0,144.41,2.357,POINT (127.026042 37.490504),16684,13층,0
0.4167,열병합,148.83,12층,1,0.103448276,184.32,apartment_1165010825,서울시 서초구 효령로68길 81,493,POINT(127.020109 37.484985),0.056795132,2.09,지역난방,서울시 서초구 서초동 1444-7,2006,0.5263,4동,지에스건설(주),106.97,184,1,1,아파트,서초자이아파트,600.0,84.98,4.414,POINT (127.020109 37.484985),19482,18층,0
0.2386,도시가스,23.45,8층,1,0.014545455,33.92,apartment_1165010816,서울시 서초구 효령로77길 30,825,POINT(127.028989 37.49169),0.006060606,0.18,개별난방,서울시 서초구 서초동 1337-3,2014,0.3203,1동,(주)대우건설,29.4,137,1,1,아파트,강남역푸르지오시티(도시형)아파트,1300.0,20.33,1.201,POINT (127.028989 37.49169),8868,8층,0
0.5,열병합,82.35,9층,1,0.068421053,96.28,apartment_1165010719,서울시 서초구 사평대로 154,570,POINT(127.001891 37.500412),0.085964912,1.0,지역난방,서울시 서초구 반포동 64-5,1991,0.6,1동,현대산업개발(주),82.31,224,1,0,아파트,현대동궁아파트,900.0,70.38,9.463,POINT (127.001891 37.500412),10692,15층,0
0.4,도시가스,114.52,5층,0,0.047619048,139.2,apartment_1165010107,서울시 서초구 방배로3길 10-3,315,POINT(126.998746 37.477643),0.06984127,1.17,개별난방,서울시 서초구 방배동 1030-1,1998,0.5,1동,(주)삼호,80.16,116,0,1,아파트,삼호한숲아파트,700.0,59.98,4.564,POINT (126.998746 37.477643),11674,15층,0
0.0714,도시가스,120.81,11층,1,0.055718475,142.48,apartment_1165010821,서울시 서초구 효령로74길 57,341,POINT(127.026641 37.485282),0.123167155,1.3,개별난방,서울시 서초구 서초동 1350-13,2002,0.4615,2동,(주)동원이엔씨,105.53,126,1,0,아파트,동원베네스트아파트,800.0,84.9,3.447,POINT (127.026641 37.485282),8195,15층,0
0.3077,열병합,205.22,10층,1,0.102719033,225.47,apartment_1165010720,서울시 서초구 사평대로 142,331,POINT(127.000569 37.500365),0.099697885,0.5,지역난방,서울시 서초구 반포동 65-1,1984,0.5,2동,한신공영,128.67,108,1,1,아파트,신반포궁전아파트,900.0,117.11,5.572,POINT (127.000569 37.500365),23029,10층,0
0.0417,도시가스,117.06,13층,1,0.085470085,126.22,apartment_1165010631,서울시 서초구 잠원로 136,468,POINT(127.009547 37.51501),0.132478632,0.0,지역난방,서울시 서초구 잠원동 61-1,1984,0.1515,2동,한신공영,113.97,169,1,1,아파트,신반포25차아파트,900.0,84.49,1.301,POINT (127.009547 37.51501),3300,13층,0
0.3556,도시가스,41.07,13층,0,0.0,55.79,apartment_1165010818,서울시 서초구 효령로77길 14,302,POINT(127.029932 37.490473),,0.5,개별난방,서울시 서초구 서초동 1338-1,2004,0.406,1동,풍림산업(주),37.54,200,1,0,아파트,풍림아이원플러스아파트,1300.0,27.64,1.421,POINT (127.029932 37.490473),2439,15층,0
0.2,도시가스,114.71,5층,1,0.063679245,148.68,apartment_1165010305,서울시 서초구 형촌길 35,424,POINT(127.019856 37.463664),0.096698113,1.19,개별난방,서울시 서초구 우면동 707,2012,0.2857,10동,(주)태영건설,110.25,178,1,0,아파트,서초네이처힐1단지아파트,200.0,84.73,3.53,POINT (127.019856 37.463664),7376,7층,0
0.3333,도시가스,84.69,11층,1,0.06993007,102.54,apartment_1165010202,서울시 서초구 바우뫼로 91,429,POINT(127.028942 37.477814),0.116550117,0.64,개별난방,서울시 서초구 양재동 160-2,1996,0.4,1동,(주)우성건설,102.54,150,0,0,아파트,양재우성KBS(113동)아파트,800.0,84.69,1.794,POINT (127.028942 37.477814),16194,14층,0
0.2353,LPG,84.89,15층,1,0.057395143,96.5,apartment_1165010637,서울시 서초구 신반포로33길 71,453,POINT(127.007948 37.513292),0.156732892,0.9,지역난방,서울시 서초구 잠원동 65-8,1993,0.3846,1동,한신공영 주식회사,96.5,150,1,0,아파트,잠원한신그린아파트,1000.0,84.89,1.514,POINT (127.007948 37.513292),17719,15층,0
0.25,열병합,179.08,12층,0,0.034602076,191.79,apartment_1165010122,서울시 서초구 방배로43길 2,578,POINT(126.987247 37.496151),0.143598616,0.37,지역난방,서울시 서초구 방배동 758-4,1976,0.4643,5동,삼호,137.63,264,1,1,아파트,삼호2차아파트,700.0,127.94,0.881,POINT (126.987247 37.496151),17507,12층,0
0.5,도시가스,110.59,7층,1,0.07761194,140.87,apartment_1165010835,서울시 서초구 서초대로40길 72,670,POINT(127.007863 37.488406),0.101492537,1.36,개별난방,서울시 서초구 서초동 1509-1,1999,0.6296,2동,삼성중공업(주),84.96,264,1,0,아파트,서초한빛삼성아파트,500.0,59.52,1.12,POINT (127.007863 37.488406),4839,18층,0
0.8148,도시가스,97.98,23층,0,0.067375887,127.22,apartment_1165010806,서울시 서초구 강남대로61길 17,564,POINT(127.025064 37.498713),0.115248227,1.02,개별난방,서울시 서초구 서초동 1316-31,2001,0.688,1동,삼성중공업(주),42.38,125,1,1,아파트,밀라텔쉐르빌(엠쉐르빌)아파트,1100.0,32.66,1.828,POINT (127.025064 37.498713),4881,23층,0
0.4231,도시가스,267.1,20층,1,0.095982143,336.7,apartment_1165010839,서울시 서초구 반포대로 58,448,POINT(127.011371 37.485687),0.109375,3.02,개별난방,서울시 서초구 서초동 1583-10,2009,0.4096,4동,지에스건설(주),181.1,164,1,1,아파트,서초아트자이아파트,600.0,144.31,3.862,POINT (127.011371 37.485687),23265,25층,0
0.4167,도시가스,129.93,10층,0,0.051219512,162.23,apartment_1165010716,서울시 서초구 고무래로10길 39,410,POINT(127.010255 37.49914),0.109756098,0.94,개별난방,서울시 서초구 반포동 46,1994,0.4,1동,한보철강공업(주),74.52,154,1,0,아파트,엠브이아파트,700.0,59.82,2.971,POINT (127.010255 37.49914),6844,18층,0
0.1923,열병합,84.9,15층,1,0.047272727,103.17,apartment_1165010612,서울시 서초구 잠원로 202-11,550,POINT(127.01462 37.5192),0.156363636,2.0,지역난방,서울시 서초구 잠원동 51,1992,0.4776,3동,한신공영(주),101.05,288,1,0,아파트,잠원훼미리아파트,900.0,84.38,1.925,POINT (127.01462 37.5192),12293,18층,0
0.5714,도시가스,114.65,12층,1,0.043378995,143.07,apartment_1165010133,서울시 서초구 서초대로26길 19,438,POINT(126.995264 37.48693),0.130136986,1.34,개별난방,서울시 서초구 방배동 899-16,2005,0.4706,3동,이수건설(주),94.56,145,1,1,아파트,방배브라운스톤아파트,400.0,75.49,6.817,POINT (126.995264 37.48693),10747,15층,0
0.4348,도시가스,40.19,11층,0,0.050347222,63.86,apartment_1165010823,서울시 서초구 강남대로39길 15-10,576,POINT(127.032051 37.485768),0.057291667,0.44,개별난방,서울시 서초구 서초동 1363-25,2013,0.5581,1동,한라건설(주),32.02,149,1,1,아파트,한라비발디스튜디오193(도시형)아파트,600.0,19.8,6.865,POINT (127.032051 37.485768),11368,12층,0
0.4074,도시가스,51.53,26층,0,0.029469548,77.44,apartment_1165010129,서울시 서초구 서초대로 13,509,POINT(126.983863 37.486006),0.094302554,0.66,개별난방,서울시 서초구 방배동 866-10,2019,0.4535,1동,(주)한미글로벌건축사사무소,38.91,118,1,1,아파트,방배마에스트로아파트,600.0,25.48,1.922,POINT (126.983863 37.486006),11595,27층,0
0.3158,도시가스,172.33,9층,1,0.077399381,197.29,apartment_1165010822,서울시 서초구 서운로6길 15-20,323,POINT(127.030403 37.486377),0.123839009,2.62,개별난방,서울시 서초구 서초동 1359-50,2003,0.3704,2동,롯데건설,110.44,110,1,1,아파트,롯데캐슬주피터아파트,800.0,95.33,2.739,POINT (127.030403 37.486377),22392,12층,0
0.12,열병합,84.87,7층,1,0.050938338,103.77,apartment_1165010614,서울시 서초구 잠원로12길 4,746,POINT(127.012904 37.51867),0.190348525,0.66,지역난방,서울시 서초구 잠원동 53,1993,0.3,2동,현대건설(주),103.77,238,1,0,아파트,잠원현대아파트,900.0,84.87,1.65,POINT (127.012904 37.51867),8883,19층,0
0.1818,도시가스,188.21,13층,0,0.111111111,224.85,apartment_1165010131,서울시 서초구 서초대로34길 34,504,POINT(126.999224 37.487594),0.049603175,2.71,개별난방,서울시 서초구 방배동 884-21,2003,0.3125,3동,대림산업(주),201.97,199,0,0,아파트,방배e-편한세상1차아파트,600.0,164.25,6.807,POINT (126.999224 37.487594),7860,15층,0
0.1818,도시가스,244.48,8층,0,0.095890411,292.65,apartment_1165010128,서울시 서초구 방배로26길 41,365,POINT(126.99462 37.490222),0.071232877,2.98,개별난방,서울시 서초구 방배동 849-30,2009,0.4762,4동,롯데건설(주),202.76,130,1,1,아파트,방배롯데캐슬로제아파트,500.0,172.27,6.126,POINT (126.99462 37.490222),27799,12층,0
0.2,열병합,155.44,12층,1,0.056934307,177.45,apartment_1165010125,서울시 서초구 방배로37길 26-9,685,POINT(126.987788 37.493705),0.167883212,0.95,지역난방,서울시 서초구 방배동 776-3,1978,0.2308,3동,쌍용건설(주),117.07,216,1,0,아파트,쌍용예가클래식아파트,400.0,89.84,1.2,POINT (126.987788 37.493705),15936,12층,0
0.3846,열병합,153.54,14층,0,0.083333333,179.94,apartment_1165010712,서울시 서초구 서초중앙로 242,492,POINT(127.011689 37.504432),0.180894309,2.09,지역난방,서울시 서초구 반포동 30-1,1986,0.4737,3동,삼호,115.6,168,1,0,아파트,삼호가든맨션5차아파트,1100.0,98.64,1.934,POINT (127.011689 37.504432),10596,14층,0
0.1852,열병합,111.75,13층,0,0.062355658,122.74,apartment_1165010607,서울시 서초구 잠원로 195,433,POINT(127.013401 37.520054),0.096997691,0.98,지역난방,서울시 서초구 잠원동 49-17,1983,0.3704,1동,한신공영,55.63,182,1,1,재건축,신반포18차(337동)아파트,900.0,50.64,2.1,POINT (127.013401 37.520054),7856,13층,0
