uuid,vehicle_entrance_uuid,geometry
daycare_326,localroad_1445606439,Point (127.0016021 37.5057151)
daycare_387,localroad_5406500115,Point (126.9915033 37.4742006)
daycare_393,localroad_4185991213,Point (126.9935618 37.4790069)
daycare_394,localroad_9625998659,Point (127.0208499 37.4991125)
daycare_452,localroad_4185626617,Point (127.0129813 37.5192765)
daycare_453,localroad_3634017599,Point (127.023184 37.4591895)
daycare_454,localroad_9693950797,Point (127.0342926 37.4621956)
daycare_482,localroad_1430655026,Point (127.0217224 37.5021744)
daycare_492,localroad_732033332,Point (127.0194082 37.5029697)
daycare_569,localroad_1696934690,Point (127.0015179 37.4801609)
daycare_634,localroad_3112829841,Point (127.0168997 37.5011315)
daycare_674,localroad_436864995,Point (127.01186 37.5016)
daycare_688,localroad_4185626634,Point (127.0075698 37.5143259)
daycare_704,localroad_5819624307,Point (127.0076626 37.5097286)
daycare_842,localroad_1685716274,Point (126.9840998 37.4826849)
daycare_857,localroad_3011545192,Point (127.0460917 37.4737557)
daycare_859,localroad_1696934700,Point (126.9939629 37.4810539)
daycare_861,localroad_927740142,Point (127.0491365 37.4720985)
daycare_862,localroad_2368063906,Point (127.0166906 37.4889917)
daycare_863,localroad_3800522736,Point (127.0266528 37.49391)
daycare_889,localroad_3827672497,Point (127.0185643 37.5085627)
daycare_890,localroad_1685694995,Point (126.9870611 37.4785081)
daycare_892,localroad_2429722057,Point (127.0163225 37.5118487)
daycare_893,localroad_2511519005,Point (126.9915519 37.4883442)
daycare_894,localroad_4314705283,Point (127.0650868 37.4550412)
daycare_916,localroad_2533109197,Point (126.9859408 37.4924413)
daycare_934,localroad_3112159941,Point (127.0155347 37.4976598)
daycare_937,localroad_4899542151,Point (127.0115607 37.5048429)
daycare_945,localroad_1430655015,Point (127.0234219 37.5027062)
daycare_947,localroad_3827548460,Point (127.0180394 37.493222)
daycare_951,localroad_1962358619,Point (127.0094102 37.4995452)
daycare_952,localroad_3089166497,Point (127.007768 37.4850459)
daycare_953,localroad_11073569991,Point (127.0196369 37.5006366)
daycare_954,localroad_4634291421,Point (127.0200196 37.4922497)
daycare_1035,localroad_3825549665,Point (127.0258164 37.4935673)
daycare_1045,localroad_3112158616,Point (127.0153391 37.498073)
daycare_1132,localroad_3088423803,Point (126.9937406 37.5053359)
daycare_1174,localroad_4185626639,Point (127.0110291 37.5144106)
daycare_1175,localroad_3088423803,Point (126.9937406 37.5053359)
daycare_1178,localroad_3088423803,Point (126.9937406 37.5053359)
daycare_1204,localroad_436876714,Point (127.0229531 37.4627197)
daycare_1220,localroad_3547291980,Point (127.0555491 37.4486533)
daycare_1239,localroad_2533109212,Point (126.9851779 37.4951822)
daycare_1247,localroad_436876714,Point (127.0229531 37.4627197)
daycare_1277,localroad_4101372804,Point (126.9848159 37.4826725)
daycare_1279,localroad_6205230772,Point (127.0569011 37.4569379)
daycare_1295,localroad_562451170,Point (127.0213556 37.4665998)
daycare_1298,localroad_7888195503,Point (127.0044911 37.4970619)
daycare_1370,localroad_5092061497,Point (127.0606023 37.4546071)
daycare_1383,localroad_8487937348,Point (127.0129772 37.4573801)
daycare_1385,localroad_3547291980,Point (127.0555491 37.4486533)
daycare_1422,localroad_3088864938,Point (127.0172885 37.5153735)
daycare_1497,localroad_3442448052,Point (127.0649384 37.4544879)
daycare_1502,localroad_4633790811,Point (127.0588087 37.4560462)
daycare_1503,localroad_3228035791,Point (127.0357169 37.4653693)
daycare_1514,localroad_5933030426,Point (127.0570737 37.4526157)
daycare_1583,localroad_3222437349,Point (127.007737 37.4900098)
daycare_1607,localroad_3634017639,Point (127.0164964 37.4566891)
daycare_1623,localroad_846808337,Point (127.032337 37.4726062)
daycare_1624,localroad_3547291974,Point (127.0576315 37.4488361)
daycare_1626,localroad_2510022118,Point (126.9921506 37.4885915)
daycare_1654,localroad_4314799306,Point (127.0517443 37.4624103)
daycare_1655,localroad_3634017639,Point (127.0164964 37.4566891)
daycare_1678,localroad_8236557405,Point (127.0270438 37.4603669)
daycare_1679,localroad_4634773821,Point (127.02008 37.4643041)
daycare_1717,localroad_4185626654,Point (127.0106412 37.5008873)
daycare_1724,localroad_4097245239,Point (127.0267343 37.4659486)
daycare_1754,localroad_3634017639,Point (127.0164964 37.4566891)
daycare_1872,localroad_4309772426,Point (127.0439334 37.4746416)
daycare_1896,localroad_3827337556,Point (127.0061502 37.4860758)
daycare_1909,localroad_3800522731,Point (127.0210416 37.4921761)
daycare_1920,localroad_3088423804,Point (126.996342 37.5064392)
daycare_1927,localroad_846808242,Point (127.0112432 37.5048057)
daycare_1934,localroad_3744265307,Point (127.0259381 37.4646358)
daycare_1952,localroad_2622713699,Point (127.0005308 37.4972393)
daycare_1953,localroad_2690624934,Point (127.0255187 37.4963641)
daycare_1981,localroad_2511519003,Point (126.9901518 37.4904958)
daycare_2050,localroad_12208571847,Point (126.9980061 37.5039575)
daycare_2062,localroad_4899542143,Point (127.0150808 37.50435)
daycare_2066,localroad_1696934709,Point (127.0030829 37.481417)
daycare_2080,localroad_3727772781,Point (127.0304993 37.4740026)
daycare_2085,localroad_4184399704,Point (127.0382406 37.4832329)
daycare_2139,localroad_12208571847,Point (126.9980061 37.5039575)
daycare_2144,localroad_436841230,Point (127.0137152 37.5151987)
daycare_2182,localroad_9624439702,Point (127.0290585 37.4717726)
daycare_2249,localroad_1694783330,Point (127.0414879 37.4835766)
daycare_2258,localroad_1685579601,Point (126.9825838 37.4805601)
daycare_2325,localroad_3153826761,Point (127.0086861 37.4942745)
daycare_2331,localroad_9711448980,Point (127.0271562 37.4971801)
daycare_2388,localroad_3827257096,Point (127.0203713 37.482692)
daycare_2412,localroad_3827169943,Point (127.0311437 37.486474)
daycare_2524,localroad_2533109208,Point (126.9868818 37.4941718)
daycare_2532,localroad_3636275548,Point (127.0704179 37.4636345)
daycare_2571,localroad_3804191194,Point (126.9870513 37.4879661)
daycare_2691,localroad_3221788778,Point (127.0056211 37.4959849)
daycare_2727,localroad_4185991283,Point (126.9853692 37.4804621)
daycare_2800,localroad_1696934738,Point (126.9944125 37.483853)
daycare_2805,localroad_1925407814,Point (127.0064775 37.4800939)
daycare_2820,localroad_3112865086,Point (127.0173825 37.4952309)
daycare_2826,localroad_3727772781,Point (127.0304993 37.4740026)
daycare_2880,localroad_2244637657,Point (127.0104347 37.517095)
daycare_2957,localroad_4186016192,Point (126.9832626 37.4882877)
daycare_2961,localroad_4738140916,Point (127.0009618 37.5055294)
daycare_3003,localroad_927740140,Point (127.0483945 37.4715828)
daycare_3047,localroad_3112140344,Point (127.0175263 37.4987469)
daycare_3083,localroad_3492880593,Point (127.0237315 37.4871242)
daycare_3151,localroad_4185834989,Point (126.9919109 37.4842521)
daycare_3171,localroad_5628739390,Point (127.0119892 37.4983637)
daycare_3172,localroad_4634856250,Point (127.0264134 37.4728915)
daycare_3210,localroad_1925498516,Point (127.0421599 37.4729346)
daycare_3267,localroad_846808301,Point (127.0146511 37.5201474)
daycare_3287,localroad_11641428833,Point (126.9951346 37.5032881)
daycare_3311,localroad_1925407818,Point (127.0047655 37.4821243)
daycare_3438,localroad_6726077830,Point (127.0095621 37.5076288)
daycare_3474,localroad_4634856252,Point (127.0266105 37.4732472)
daycare_3480,localroad_3827258552,Point (127.0217152 37.4884959)
daycare_3528,localroad_3800522736,Point (127.0266528 37.49391)
daycare_3544,localroad_2622767637,Point (127.0043892 37.4985277)
daycare_3558,localroad_2295365607,Point (127.0182259 37.4919382)
daycare_3572,localroad_4184618629,Point (127.0395576 37.4731495)
daycare_3573,localroad_1696934669,Point (126.999993 37.4778685)
daycare_3597,localroad_4644355021,Point (126.9839139 37.4745818)
daycare_3614,localroad_3804191242,Point (126.9865819 37.4905015)
daycare_3780,localroad_1962358614,Point (127.0093502 37.5008791)
daycare_3782,localroad_4184399727,Point (127.0365154 37.484162)
daycare_3793,localroad_3827169460,Point (127.0283589 37.4844231)
daycare_3817,localroad_4634856429,Point (127.0264227 37.471657)
daycare_3820,localroad_3492880493,Point (127.0239215 37.4866412)
daycare_3888,localroad_4184618615,Point (127.0447961 37.4693871)
daycare_3915,localroad_3827258668,Point (127.0215981 37.4887627)
daycare_3937,localroad_4634856417,Point (127.0242973 37.4710919)
daycare_4025,localroad_2477374752,Point (127.0185706 37.5101954)
daycare_4057,localroad_1696934746,Point (126.993089 37.484722)
daycare_4064,localroad_12228667058,Point (127.0001372 37.4753261)
daycare_4160,localroad_8486132576,Point (126.9910125 37.474334)
daycare_4237,localroad_2622810023,Point (126.9968886 37.4970076)
hospital_330,localroad_2624211585,Point (126.9893352 37.4930117)
hospital_203,localroad_3826341157,Point (127.0304381 37.4898085)
hospital_39,localroad_8485173586,Point (126.9822659 37.4859059)
hospital_52,localroad_3804191158,Point (126.9830915 37.4864202)
hospital_58,localroad_3804191207,Point (126.9824713 37.4884797)
hospital_1226,localroad_2533109203,Point (126.9897546 37.4939073)
hospital_122,localroad_3804191182,Point (126.982414 37.4874186)
hospital_78,localroad_1696934743,Point (126.9957527 37.4843821)
hospital_81,localroad_3827170304,Point (127.0267818 37.4875241)
hospital_1224,localroad_1430655026,Point (127.0217224 37.5021744)
hospital_98,localroad_4147017218,Point (127.0078686 37.5076354)
hospital_112,localroad_1694783202,Point (127.0362983 37.483503)
hospital_121,localroad_436843486,Point (127.0429271 37.4819037)
hospital_181,localroad_414684345,Point (127.0282365 37.4885147)
hospital_313,localroad_1925407818,Point (127.0047655 37.4821243)
hospital_323,localroad_562451052,Point (127.0252014 37.4701382)
hospital_338,localroad_8487538012,Point (127.0068179 37.5073134)
hospital_374,localroad_3827548050,Point (127.0134891 37.4928032)
hospital_407,localroad_4631776180,Point (127.0468244 37.4724627)
hospital_435,localroad_4185835030,Point (126.9973292 37.4819279)
hospital_436,localroad_1696934743,Point (126.9957527 37.4843821)
hospital_438,localroad_3804191182,Point (126.982414 37.4874186)
hospital_1423,localroad_2244637675,Point (127.0032639 37.5083279)
hospital_463,localroad_436840833,Point (127.03479 37.46384)
hospital_506,localroad_4185690190,Point (127.0149731 37.482653)
hospital_538,localroad_5909736454,Point (126.9806185 37.5047362)
hospital_536,localroad_2388037863,Point (127.0085072 37.4902295)
hospital_562,localroad_3827257136,Point (127.0145105 37.4849284)
hospital_1336,localroad_1962358624,Point (127.0111519 37.5026988)
hospital_610,localroad_2280599507,Point (127.0265779 37.4919997)
hospital_621,localroad_3355067059,Point (127.0167196 37.4946572)
hospital_632,localroad_1965713727,Point (127.0139583 37.4881672)
hospital_642,localroad_2280599507,Point (127.0265779 37.4919997)
hospital_663,localroad_3112865087,Point (127.0187886 37.49564)
hospital_664,localroad_1905595277,Point (126.9837106 37.4862329)
hospital_670,localroad_3112174490,Point (127.0135388 37.4943271)
hospital_695,localroad_4184399724,Point (127.0357379 37.4840218)
hospital_728,localroad_3154300013,Point (127.0081236 37.4926796)
hospital_1376,localroad_436841230,Point (127.0137152 37.5151987)
hospital_855,localroad_11641428828,Point (127.0035678 37.5056944)
hospital_850,localroad_4182209836,Point (127.0218989 37.5083641)
hospital_880,localroad_4634374794,Point (127.0107641 37.512577)
hospital_888,localroad_3827257147,Point (127.0159582 37.4855435)
hospital_909,localroad_11641439376,Point (127.0006324 37.504892)
hospital_957,localroad_3827337507,Point (127.0089235 37.4835923)
hospital_969,localroad_2477335640,Point (127.0202331 37.5097803)
hospital_982,localroad_8486796669,Point (127.0011483 37.504671)
hospital_1021,localroad_11738027531,Point (127.0146414 37.5091157)
hospital_1023,localroad_2655442257,Point (127.0167818 37.4842169)
hospital_1042,localroad_2295372311,Point (127.014109 37.4913073)
hospital_1048,localroad_1925498403,Point (127.0454708 37.4718644)
hospital_1063,localroad_436844221,Point (126.9950087 37.4855112)
hospital_1066,localroad_436817738,Point (127.0115903 37.5024989)
hospital_1067,localroad_11738027546,Point (127.0094829 37.5074792)
hospital_1070,localroad_2533109203,Point (126.9897546 37.4939073)
hospital_1086,localroad_1825741516,Point (126.9824471 37.4883434)
hospital_1087,localroad_3804191055,Point (126.9823242 37.4863686)
hospital_1122,localroad_3355067057,Point (127.0155944 37.4943252)
hospital_1154,localroad_571448680,Point (127.0292391 37.4928033)
hospital_1170,localroad_436817738,Point (127.0115903 37.5024989)
hospital_1171,localroad_3088424193,Point (126.9950154 37.50588)
hospital_1049,localroad_3112174489,Point (127.0160458 37.4949271)
hospital_1462,localroad_1685716305,Point (126.982337 37.4805383)
hospital_1465,localroad_2103868103,Point (126.9928575 37.4888702)
hospital_1467,localroad_5935888702,Point (126.9972687 37.4813334)
hospital_1475,localroad_5092061496,Point (127.0603621 37.454548)
hospital_1500,localroad_2103868103,Point (126.9928575 37.4888702)
hospital_1071,localroad_2280599507,Point (127.0265779 37.4919997)
hospital_1513,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_1568,localroad_436882900,Point (127.0299475 37.4890431)
hospital_1636,localroad_436844216,Point (126.9980012 37.4808984)
hospital_1647,localroad_2655409196,Point (127.0210817 37.4855006)
hospital_140,localroad_4867334999,Point (127.0197037 37.5151105)
hospital_204,localroad_2429722067,Point (127.0206655 37.51216)
hospital_19,localroad_3827169496,Point (127.0295627 37.4852267)
hospital_97,localroad_4184399727,Point (127.0365154 37.484162)
hospital_167,localroad_2477340275,Point (127.0224081 37.5085253)
hospital_277,localroad_2477265747,Point (127.0237845 37.5056626)
hospital_309,localroad_8485173590,Point (126.9830112 37.4855148)
hospital_1262,localroad_3804191158,Point (126.9830915 37.4864202)
hospital_322,localroad_3827257136,Point (127.0145105 37.4849284)
hospital_369,localroad_2429722054,Point (127.0182681 37.5136053)
hospital_403,localroad_4865811281,Point (127.0348783 37.483838)
hospital_578,localroad_12208571844,Point (126.9979312 37.5041)
hospital_594,localroad_571448680,Point (127.0292391 37.4928033)
hospital_613,localroad_2477265762,Point (127.0214082 37.5105351)
hospital_638,localroad_3355067057,Point (127.0155944 37.4943252)
hospital_686,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_712,localroad_8556927603,Point (127.0156185 37.4941925)
hospital_1377,localroad_3827170295,Point (127.0287816 37.4873767)
hospital_881,localroad_3112174493,Point (127.0153218 37.4948806)
hospital_896,localroad_2295372311,Point (127.014109 37.4913073)
hospital_1043,localroad_4185835030,Point (126.9973292 37.4819279)
hospital_1088,localroad_3804191055,Point (126.9823242 37.4863686)
hospital_1419,localroad_3804191182,Point (126.982414 37.4874186)
hospital_1421,localroad_600377852,Point (127.017733 37.5162662)
hospital_1147,localroad_1430655026,Point (127.0217224 37.5021744)
hospital_1149,localroad_3827548465,Point (127.0144842 37.4935958)
hospital_1510,localroad_3827672541,Point (127.0218882 37.5095546)
hospital_1517,localroad_3355067063,Point (127.017902 37.4949593)
hospital_1545,localroad_8489896381,Point (127.0269036 37.497806)
hospital_1570,localroad_3827672469,Point (127.0228433 37.5076202)
hospital_729,localroad_1430655018,Point (127.0247036 37.502368)
hospital_865,localroad_2281095539,Point (127.0243757 37.5044377)
hospital_725,localroad_2281095539,Point (127.0243757 37.5044377)
hospital_80,localroad_2545067226,Point (126.9942932 37.4866048)
hospital_96,localroad_3804191182,Point (126.982414 37.4874186)
hospital_1228,localroad_1445606439,Point (127.0016021 37.5057151)
hospital_1233,localroad_4984365472,Point (127.0225295 37.5082729)
hospital_215,localroad_3827548035,Point (127.0135722 37.4921282)
hospital_270,localroad_1430655018,Point (127.0247036 37.502368)
hospital_236,localroad_2281095539,Point (127.0243757 37.5044377)
hospital_242,localroad_9914441894,Point (127.0116441 37.5082313)
hospital_245,localroad_3101791329,Point (127.0272447 37.4984526)
hospital_300,localroad_2622713694,Point (126.9983813 37.4986412)
hospital_1260,localroad_2477340257,Point (127.0220042 37.5044111)
hospital_282,localroad_3827672541,Point (127.0218882 37.5095546)
hospital_1289,localroad_2622713693,Point (126.9990333 37.4985986)
hospital_619,localroad_3355067057,Point (127.0155944 37.4943252)
hospital_627,localroad_11738027546,Point (127.0094829 37.5074792)
hospital_1345,localroad_2280599507,Point (127.0265779 37.4919997)
hospital_651,localroad_3827257147,Point (127.0159582 37.4855435)
hospital_790,localroad_2533109203,Point (126.9897546 37.4939073)
hospital_805,localroad_8489896381,Point (127.0269036 37.497806)
hospital_837,localroad_1430655018,Point (127.0247036 37.502368)
hospital_863,localroad_3221788781,Point (127.0083425 37.4901809)
hospital_870,localroad_571448680,Point (127.0292391 37.4928033)
hospital_907,localroad_11738027546,Point (127.0094829 37.5074792)
hospital_1103,localroad_3827548470,Point (127.0164087 37.4939228)
hospital_1118,localroad_2477265762,Point (127.0214082 37.5105351)
hospital_1158,localroad_4865811281,Point (127.0348783 37.483838)
hospital_1192,localroad_3804191055,Point (126.9823242 37.4863686)
hospital_1443,localroad_571448678,Point (127.0284792 37.4944511)
hospital_1453,localroad_8556927605,Point (127.0144437 37.4938288)
hospital_1492,localroad_3827548494,Point (127.020205 37.4963513)
hospital_1531,localroad_4181527974,Point (127.0190101 37.5146394)
hospital_1551,localroad_1962358615,Point (127.0107488 37.5029889)
hospital_1207,localroad_2429722067,Point (127.0206655 37.51216)
hospital_1606,localroad_8489896381,Point (127.0269036 37.497806)
hospital_1646,localroad_436844221,Point (126.9950087 37.4855112)
hospital_301,localroad_2295372310,Point (127.0148719 37.4913602)
hospital_11,localroad_1430655018,Point (127.0247036 37.502368)
hospital_1213,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_1159,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_22,localroad_2477265762,Point (127.0214082 37.5105351)
hospital_163,localroad_4944067989,Point (127.0252056 37.4989723)
hospital_509,localroad_571448678,Point (127.0284792 37.4944511)
hospital_1221,localroad_571448492,Point (127.027701 37.4961026)
hospital_36,localroad_3112159942,Point (127.0140436 37.497449)
hospital_40,localroad_600377854,Point (127.018434 37.5168542)
hospital_48,localroad_1430655018,Point (127.0247036 37.502368)
hospital_76,localroad_3112174494,Point (127.0165592 37.4949895)
hospital_105,localroad_2429722067,Point (127.0206655 37.51216)
hospital_123,localroad_2429722067,Point (127.0206655 37.51216)
hospital_131,localroad_2429722067,Point (127.0206655 37.51216)
hospital_143,localroad_8489896381,Point (127.0269036 37.497806)
hospital_155,localroad_4944067989,Point (127.0252056 37.4989723)
hospital_160,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_170,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_1241,localroad_4867335002,Point (127.0193434 37.5162035)
hospital_192,localroad_3153687261,Point (127.0137607 37.4933014)
hospital_218,localroad_1430655018,Point (127.0247036 37.502368)
hospital_220,localroad_1430655018,Point (127.0247036 37.502368)
hospital_223,localroad_3827672541,Point (127.0218882 37.5095546)
hospital_224,localroad_2429722067,Point (127.0206655 37.51216)
hospital_226,localroad_2477265747,Point (127.0237845 37.5056626)
hospital_1250,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_231,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_232,localroad_1430655018,Point (127.0247036 37.502368)
hospital_239,localroad_2429722067,Point (127.0206655 37.51216)
hospital_1253,localroad_1430655018,Point (127.0247036 37.502368)
hospital_286,localroad_1430655018,Point (127.0247036 37.502368)
hospital_281,localroad_7168332244,Point (127.0194431 37.5158814)
hospital_260,localroad_3827672541,Point (127.0218882 37.5095546)
hospital_263,localroad_3101791329,Point (127.0272447 37.4984526)
hospital_299,localroad_2281095539,Point (127.0243757 37.5044377)
hospital_268,localroad_8489896381,Point (127.0269036 37.497806)
hospital_275,localroad_1430655018,Point (127.0247036 37.502368)
hospital_276,localroad_1430655018,Point (127.0247036 37.502368)
hospital_1259,localroad_1430655018,Point (127.0247036 37.502368)
hospital_278,localroad_7168332244,Point (127.0194431 37.5158814)
hospital_283,localroad_1430655018,Point (127.0247036 37.502368)
hospital_297,localroad_2477340275,Point (127.0224081 37.5085253)
hospital_305,localroad_7168332244,Point (127.0194431 37.5158814)
hospital_315,localroad_1430655018,Point (127.0247036 37.502368)
hospital_325,localroad_8489896381,Point (127.0269036 37.497806)
hospital_328,localroad_2429722067,Point (127.0206655 37.51216)
hospital_1265,localroad_7168332244,Point (127.0194431 37.5158814)
hospital_349,localroad_2429722067,Point (127.0206655 37.51216)
hospital_350,localroad_2477340275,Point (127.0224081 37.5085253)
hospital_353,localroad_4944067989,Point (127.0252056 37.4989723)
hospital_376,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_379,localroad_2429722067,Point (127.0206655 37.51216)
hospital_380,localroad_2861578306,Point (127.0182848 37.5130044)
hospital_382,localroad_7168332244,Point (127.0194431 37.5158814)
hospital_388,localroad_7168332244,Point (127.0194431 37.5158814)
hospital_391,localroad_4867334997,Point (127.0195745 37.5154799)
hospital_443,localroad_4867334997,Point (127.0195745 37.5154799)
hospital_1284,localroad_4944067989,Point (127.0252056 37.4989723)
hospital_454,localroad_1430655018,Point (127.0247036 37.502368)
hospital_458,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_460,localroad_4867334996,Point (127.01978 37.5147494)
hospital_1290,localroad_4944067989,Point (127.0252056 37.4989723)
hospital_1291,localroad_7168332244,Point (127.0194431 37.5158814)
hospital_1294,localroad_1430655018,Point (127.0247036 37.502368)
hospital_469,localroad_4182209840,Point (127.0234403 37.5045728)
hospital_472,localroad_1430655018,Point (127.0247036 37.502368)
hospital_479,localroad_600377854,Point (127.018434 37.5168542)
hospital_489,localroad_2281095539,Point (127.0243757 37.5044377)
hospital_1302,localroad_2281095539,Point (127.0243757 37.5044377)
hospital_490,localroad_4944067989,Point (127.0252056 37.4989723)
hospital_1306,localroad_2429722067,Point (127.0206655 37.51216)
hospital_510,localroad_4182209840,Point (127.0234403 37.5045728)
hospital_517,localroad_3796948936,Point (126.9989685 37.4977635)
hospital_1315,localroad_3817646123,Point (126.9977241 37.4986815)
hospital_522,localroad_1430655018,Point (127.0247036 37.502368)
hospital_564,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_592,localroad_3101791329,Point (127.0272447 37.4984526)
hospital_589,localroad_3804191223,Point (126.9827142 37.4895455)
hospital_631,localroad_3804191223,Point (126.9827142 37.4895455)
hospital_673,localroad_2477340275,Point (127.0224081 37.5085253)
hospital_676,localroad_1430655018,Point (127.0247036 37.502368)
hospital_694,localroad_2477340275,Point (127.0224081 37.5085253)
hospital_713,localroad_4181527974,Point (127.0190101 37.5146394)
hospital_718,localroad_2281095539,Point (127.0243757 37.5044377)
hospital_730,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_1352,localroad_11641428829,Point (127.0048158 37.5060798)
hospital_727,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_1357,localroad_8489896381,Point (127.0269036 37.497806)
hospital_758,localroad_3827548465,Point (127.0144842 37.4935958)
hospital_767,localroad_4181527974,Point (127.0190101 37.5146394)
hospital_776,localroad_2429722067,Point (127.0206655 37.51216)
hospital_779,localroad_1430655018,Point (127.0247036 37.502368)
hospital_1367,localroad_1430655018,Point (127.0247036 37.502368)
hospital_789,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_794,localroad_2477265735,Point (127.0236103 37.504189)
hospital_798,localroad_2623456230,Point (126.9917238 37.4933121)
hospital_1373,localroad_436844219,Point (126.9964804 37.4832788)
hospital_802,localroad_3827672541,Point (127.0218882 37.5095546)
hospital_825,localroad_4181527974,Point (127.0190101 37.5146394)
hospital_828,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_750,localroad_2477265735,Point (127.0236103 37.504189)
hospital_832,localroad_2477265747,Point (127.0237845 37.5056626)
hospital_835,localroad_1430655018,Point (127.0247036 37.502368)
hospital_836,localroad_3827672541,Point (127.0218882 37.5095546)
hospital_838,localroad_4944067989,Point (127.0252056 37.4989723)
hospital_831,localroad_3827672469,Point (127.0228433 37.5076202)
hospital_842,localroad_2429722067,Point (127.0206655 37.51216)
hospital_932,localroad_3827548465,Point (127.0144842 37.4935958)
hospital_1384,localroad_2281095539,Point (127.0243757 37.5044377)
hospital_951,localroad_7168332244,Point (127.0194431 37.5158814)
hospital_955,localroad_3827672541,Point (127.0218882 37.5095546)
hospital_961,localroad_1430655018,Point (127.0247036 37.502368)
hospital_1403,localroad_3101791329,Point (127.0272447 37.4984526)
hospital_974,localroad_600377854,Point (127.018434 37.5168542)
hospital_975,localroad_2281095539,Point (127.0243757 37.5044377)
hospital_1001,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_983,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_1003,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_1005,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_986,localroad_2429722067,Point (127.0206655 37.51216)
hospital_1009,localroad_7168332244,Point (127.0194431 37.5158814)
hospital_1408,localroad_2281095539,Point (127.0243757 37.5044377)
hospital_1019,localroad_1430655018,Point (127.0247036 37.502368)
hospital_1020,localroad_1430655018,Point (127.0247036 37.502368)
hospital_1022,localroad_600377854,Point (127.018434 37.5168542)
hospital_1410,localroad_3101791329,Point (127.0272447 37.4984526)
hospital_1078,localroad_3088864935,Point (127.0185655 37.5157992)
hospital_1422,localroad_436853883,Point (126.9981951 37.4961145)
hospital_1111,localroad_1430655018,Point (127.0247036 37.502368)
hospital_1128,localroad_3827672541,Point (127.0218882 37.5095546)
hospital_1133,localroad_1430655018,Point (127.0247036 37.502368)
hospital_1157,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_1166,localroad_1430655015,Point (127.0234219 37.5027062)
hospital_1185,localroad_3101791329,Point (127.0272447 37.4984526)
hospital_1441,localroad_7168332244,Point (127.0194431 37.5158814)
hospital_1194,localroad_8489896381,Point (127.0269036 37.497806)
hospital_1195,localroad_571448678,Point (127.0284792 37.4944511)
hospital_1196,localroad_1430655015,Point (127.0234219 37.5027062)
hospital_1414,localroad_1430655018,Point (127.0247036 37.502368)
hospital_1450,localroad_1430655018,Point (127.0247036 37.502368)
hospital_1463,localroad_2477265761,Point (127.0231778 37.5069245)
hospital_1486,localroad_2477265762,Point (127.0214082 37.5105351)
hospital_1509,localroad_2429722067,Point (127.0206655 37.51216)
hospital_1511,localroad_2477265735,Point (127.0236103 37.504189)
hospital_1518,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_1529,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_1530,localroad_2477265747,Point (127.0237845 37.5056626)
hospital_1535,localroad_3101791329,Point (127.0272447 37.4984526)
hospital_1544,localroad_2429722067,Point (127.0206655 37.51216)
hospital_1178,localroad_2429722067,Point (127.0206655 37.51216)
hospital_1485,localroad_4182209840,Point (127.0234403 37.5045728)
hospital_1555,localroad_4182209840,Point (127.0234403 37.5045728)
hospital_1572,localroad_1430655018,Point (127.0247036 37.502368)
hospital_1574,localroad_7168332244,Point (127.0194431 37.5158814)
hospital_1575,localroad_1430655018,Point (127.0247036 37.502368)
hospital_1584,localroad_1430655018,Point (127.0247036 37.502368)
hospital_1597,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_1604,localroad_2429722067,Point (127.0206655 37.51216)
hospital_1605,localroad_2280678683,Point (127.0267729 37.4994695)
hospital_1479,localroad_7168332244,Point (127.0194431 37.5158814)
hospital_1658,localroad_1430655018,Point (127.0247036 37.502368)
hospital_347,localroad_2624211585,Point (126.9893352 37.4930117)
hospital_16,localroad_11738027546,Point (127.0094829 37.5074792)
hospital_59,localroad_436817738,Point (127.0115903 37.5024989)
hospital_1227,localroad_12147442533,Point (126.9875665 37.5015111)
hospital_113,localroad_3547291980,Point (127.0555491 37.4486533)
hospital_1240,localroad_436817738,Point (127.0115903 37.5024989)
hospital_206,localroad_3112865086,Point (127.0173825 37.4952309)
hospital_219,localroad_1430655026,Point (127.0217224 37.5021744)
hospital_1278,localroad_9914441894,Point (127.0116441 37.5082313)
hospital_453,localroad_1965713688,Point (127.0112826 37.4861305)
