addr,name,lat,lon,sectors,constructor,completion,households,heating,heating_resource,max_floor,min_floor,parking_per_house,parking_lot,community,min_area_supply,max_area_supply,min_area_use,max_area_use,addr_street,apartment_status,slope,taxi_dropoff_ratio,taxi_dropoff_ratio_morning_peak,average_income_year,floor_area_ratio,parking_lot_under,slope_ratio,pop,pop_density_10s,pop_ratio_50s,pop_ratio_60s_man,uuid
서울시 서초구 우면동 720,서초네이처힐4단지,37.463718,127.02631,7동,진흥기업(주),2011,409,개별난방,도시가스,15층,14층,1.14,0,0,115.84,163.44,84.61,114.93,서울시 서초구 태봉로2길 65,아파트,1,45.71,28.57,6152,100,0,3,530,0.167924528,0.101886792,0.039622642,apartment_1165010308
서울시 서초구 잠원동 58-24,신반포11차,37.510287,127.013648,4동,한신공영(주),1981,398,지역난방,열병합,12층,11층,2,0,1,82.34,154.86,76.4,143.03,서울시 서초구 나루터로4길 61,재건축,1,50,50,1060,1100,1,3,634,0.105678233,0.187697161,0.069400631,apartment_1165010623
서울시 서초구 신원동 615,서초포레스타7단지,37.448747,127.056906,10동,"한신공영(주), 에이스종합건설(주)",2013,310,개별난방,도시가스,7층,6층,0,0,1,87.67,123.42,59.81,84.79,서울시 서초구 청계산로11길 7-12,아파트,1,18.18,11.11,7968,100,0,4,364,0.054945055,0.098901099,0.046703297,apartment_1165011103
서울시 서초구 잠원동 71-1,블루힐하우스,37.511737,127.006039,1동,(주)청구,1999,125,개별난방,도시가스,19층,14층,1.03,0,1,80.07,113.1,59.85,84.54,서울시 서초구 잠원로 85,아파트,1,49.09,36.11,13309,800,1,2,450,0.16,0.155555556,0.04,apartment_1165010639
서울시 서초구 서초동 1681-8,서초롯데캐슬프레지던트,37.496912,127.019738,3동,롯데건설(주),2014,280,지역난방,열병합,31층,25층,1.53,0,1,111.05,187.11,84.97,149.45,서울시 서초구 서초중앙로24길 57,아파트,1,47.92,28.57,24732,1000,1,11,435,0.112643678,0.218390805,0.068965517,apartment_1165010848
서울시 서초구 서초동 1641-13,아남,37.492965,127.020717,2동,아남건설(주),1988,166,지역난방,열병합,13층,11층,0.92,0,0,92.08,103.18,71.1,84.96,서울시 서초구 사임당로23길 53,아파트,1,37.5,23.53,13534,700,0,6,461,0.125813449,0.151843818,0.047722343,apartment_1165010844
서울시 서초구 반포동 30-15,반포센트레빌아스테리움,37.503301,127.016172,2동,동부건설(주),2021,108,지역난방,열병합,20층,19층,1.62,0,1,76.58,114.62,59.99,88.93,서울시 서초구 사평대로 310-4,아파트,1,54.55,33.33,16905,1100,1,4,174,0.17816092,0.08045977,0.063218391,apartment_1165010724
서울시 서초구 잠원동 61-2,신반포19차,37.514322,127.010224,2동,한신공영(주),1982,242,지역난방,열병합,11층,11층,0,0,1,88.42,120.96,80.25,109.88,서울시 서초구 잠원로8길 20,재건축,1,36,13.33,12745,900,0,2,667,0.133433283,0.167916042,0.047976012,apartment_1165010632
서울시 서초구 서초동 1648-2,서초현대,37.491021,127.019951,2동,고려산업개발(주),1999,299,지역난방,열병합,16층,8층,1.17,0,0,72.72,144.29,53.01,114.84,서울시 서초구 사임당로19길 10,아파트,1,41.67,14.29,11946,700,1,4,813,0.131611316,0.126691267,0.039360394,apartment_1165010845
서울시 서초구 잠원동 59-3,잠원현대훼밀리,37.509064,127.012838,1동,현대건설(주),1997,113,개별난방,도시가스,17층,13층,1,0,1,73.43,104.2,59.56,84.52,서울시 서초구 신반포로 261,아파트,1,55.88,52.17,9742,1100,1,7,634,0.105678233,0.187697161,0.069400631,apartment_1165010625
서울시 서초구 서초동 1454-29,서초한신,37.482482,127.013844,2동,한신공영(주),2001,194,개별난방,도시가스,15층,8층,1.46,0,0,113.63,147.27,84.99,115.3,서울시 서초구 남부순환로323길 38-15,아파트,1,56.52,45.45,6140,600,1,3,543,0.116022099,0.197053407,0.066298343,apartment_1165010830
서울시 서초구 잠원동 63-34,한신로얄,37.513356,127.009021,2동,한신공영(주),1992,208,지역난방,도시가스,13층,10층,1.15,0,0,90.37,93.78,81.05,84.56,서울시 서초구 신반포로33길 64,아파트,1,34.78,7.14,10150,900,1,2,609,0.157635468,0.180623974,0.037766831,apartment_1165010634
서울시 서초구 잠원동 60-4,한신타운,37.50951,127.01147,1동,한신공영,1989,110,지역난방,열병합,15층,9층,0,0,1,79.93,98.02,63.94,78.39,서울시 서초구 나루터로4길 70-5,아파트,1,36.84,23.53,6130,1100,1,2,258,0.108527132,0.120155039,0.065891473,apartment_1165010627
서울시 서초구 우면동 70,코오롱,37.472577,127.027654,6동,코오롱건설(주),1994,300,개별난방,도시가스,6층,6층,1.02,0,0,73.06,73.06,52.47,52.47,서울시 서초구 바우뫼로 53,아파트,1,62.92,44.74,9329,500,0,4,584,0.035958904,0.160958904,0.063356164,apartment_1165010304
서울시 서초구 우면동 67,우면한라,37.471696,127.025664,7동,한라건설(주),1994,252,개별난방,도시가스,6층,6층,0.87,0,1,78.93,78.93,59.98,59.98,서울시 서초구 바우뫼로 33,아파트,1,67.36,92.16,12082,500,0,3,643,0.069984448,0.135303266,0.074650078,apartment_1165010303
서울시 서초구 잠원동 71-11,반포한신타워,37.51098,127.00606,2동,한신공영(주),1996,250,중앙난방,열병합,18층,8층,1,0,0,83.77,159.58,59.4,131.99,서울시 서초구 잠원로3길 8,아파트,1,55.56,33.33,5619,800,0,3,686,0.150145773,0.134110787,0.039358601,apartment_1165010640
서울시 서초구 서초동 1487-63,서초e-편한세상1차,37.481181,127.006941,2동,대림산업(주),2004,154,개별난방,도시가스,15층,6층,2.03,0,1,158.86,158.86,130.53,130.53,서울시 서초구 명달로6길 31,아파트,1,27.03,11.11,26592,500,0,5,469,0.142857143,0.215351812,0.089552239,apartment_1165010833
서울시 서초구 잠원동 71-12,킴스빌리지,37.510812,127.00647,1동,시대종합건설,1996,160,개별난방,도시가스,15층,14층,0.86,0,0,34.79,55.09,23.7,37.58,서울시 서초구 잠원로3길 6,아파트,1,57.14,33.33,5619,800,0,2,404,0.034653465,0.155940594,0.032178218,apartment_1165010641
서울시 서초구 서초동 1671-5,서초리시온,37.49346,127.01552,1동,대림산업(주),2003,293,개별난방,도시가스,14층,8층,0.8,0,0,33.21,100.47,25.98,78.58,서울시 서초구 서초중앙로22길 25,아파트,1,46.85,54.88,8652,500,0,1,315,0,0.158730159,0.082539683,apartment_1165010846
서울시 서초구 잠원동 50,롯데캐슬갤럭시1차,37.520366,127.016502,5동,롯데건설(주),2002,256,개별난방,열병합,25층,14층,1.83,0,0,140.41,193.84,106.15,151.11,서울시 서초구 잠원로14길 3,아파트,1,42.55,18.75,12661,900,1,3,454,0.171806167,0.213656388,0.072687225,apartment_1165010609
서울시 서초구 서초동 1620-20,서초롯데캐슬리버티,37.48748,127.01673,3동,롯데건설주식회사,2005,132,개별난방,도시가스,12층,7층,1.74,0,1,81.94,152.02,62.85,126.52,서울시 서초구 사임당로10길 39,아파트,1,62.07,50,13442,600,1,6,397,0.093198992,0.153652393,0.075566751,apartment_1165010841
서울시 서초구 서초동 1338,현대ESA,37.490982,127.029439,1동,현대건설(주),2002,122,중앙난방,도시가스,18층,12층,1.76,0,1,131.58,215.62,100.06,163.95,서울시 서초구 효령로77길 20,아파트,1,35.29,25.27,17669,1300,1,1,384,0.140625,0.197916667,0.041666667,apartment_1165010817
서울시 서초구 잠원동 54-7,신화,37.515721,127.013735,1동,신화건설(주),1997,166,개별난방,도시가스,18층,16층,1,0,0,76.94,109.7,57.33,84.85,서울시 서초구 잠원로14길 54,아파트,1,32.69,26.67,8175,900,1,1,487,0.168377823,0.141683778,0.034907598,apartment_1165010616
서울시 서초구 잠원동 58,금호베스트빌,37.514715,127.014155,2동,금호산업(주),2002,117,지역난방,열병합,17층,9층,1.84,0,1,101.34,166.07,84.97,140.36,서울시 서초구 나루터로 46,아파트,1,38.64,29.63,7026,600,0,2,375,0.136,0.208,0.064,apartment_1165010620
서울시 서초구 서초동 1326,삼성서초가든스위트,37.494845,127.02585,3동,삼성물산(주)주택부문,2000,141,중앙난방,도시가스,23층,2층,5.11,0,1,236.14,355.48,162.73,244.97,서울시 서초구 서운로 122,아파트,1,45.12,27.45,3601,1600,1,3,613,0.061990212,0.150081566,0.08319739,apartment_1165010807
서울시 서초구 우면동 735,서초네이처힐7단지,37.461908,127.023282,5동,(주)태영건설,2011,275,개별난방,도시가스,17층,5층,1.12,0,0,85.73,120.25,59.99,84.77,서울시 서초구 태봉로2길 10,아파트,1,23.08,11.11,4188,100,1,4,635,0.077165354,0.097637795,0.062992126,apartment_1165010309
서울시 서초구 잠원동 56-2,신반포27차,37.515948,127.009682,1동,한신공영(주),1985,156,지역난방,열병합,12층,12층,0.5,0,0,58.06,118.82,53.46,84.49,서울시 서초구 잠원로8길 3,아파트,1,29.31,16.13,775,900,1,2,295,0.054237288,0.142372881,0.020338983,apartment_1165010618
서울시 서초구 서초동 1684,서초현대4차,37.500145,127.017344,3동,현대산업개발(주),2000,160,지역난방,열병합,18층,9층,1.48,0,0,67.04,172.27,52.36,140.03,서울시 서초구 고무래로 94,아파트,1,51.22,32.14,16042,1200,0,8,80,0.1625,0.0875,0,apartment_1165010850
서울시 서초구 서초동 1316-15,현대성우,37.498107,127.024443,1동,성우종합건설(주),2002,138,지역난방,열병합,24층,6층,2.56,0,1,156.17,285.61,133.48,244.14,서울시 서초구 강남대로61길 23,아파트,1,64,68.33,14811,1000,0,3,564,0.115248227,0.182624113,0.067375887,apartment_1165010805
서울시 서초구 서초동 1337-22,서초대우디오빌프라임,37.4916,127.030121,1동,(주)대우건설,2005,112,개별난방,도시가스,15층,15층,1.75,0,1,56.35,107.6,44.5,84.97,서울시 서초구 강남대로 321,아파트,1,37.22,35.53,8868,1300,1,1,277,0.061371841,0.140794224,0.039711191,apartment_1165010815
서울시 서초구 신원동 557,힐스테이트서초젠트리스,37.456285,127.057657,9동,현대엔지니어링주식회사,2014,256,개별난방,도시가스,9층,5층,1.51,0,1,114.32,153.03,84.95,114.9,서울시 서초구 헌릉로8길 10-12,아파트,1,16.67,12.5,3380,200,0,5,677,0.048744461,0.197932053,0.104874446,apartment_1165011105
서울시 서초구 서초동 1641-1,서초삼성래미안,37.493179,127.019471,3동,삼성물산(주),2001,299,지역난방,열병합,16층,16층,1.59,0,0,108.06,191.27,84.89,150.25,서울시 서초구 사임당로17길 116,아파트,1,37.5,33.33,11610,500,1,11,560,0.096428571,0.175,0.071428571,apartment_1165010843
서울시 서초구 반포동 10,반포푸르지오,37.503757,126.995819,3동,(주)대우,2000,237,개별난방,도시가스,12층,12층,1.05,0,1,64.17,108.81,50.02,84.82,서울시 서초구 신반포로15길 4,아파트,1,52.78,55.56,7158,500,1,2,697,0.18794835,0.164992826,0.034433286,apartment_1165010701
서울시 서초구 서초동 1344-13,서초트라팰리스,37.486801,127.028329,3동,삼성물산(주),2005,257,개별난방,열병합,25층,11층,1.66,0,1,93.71,198.6,73.42,155.55,서울시 서초구 효령로72길 57,아파트,1,46.67,39.39,23059,800,1,3,695,0.113669065,0.155395683,0.048920863,apartment_1165010819
서울시 서초구 방배동 923-6,방배아크로타워,37.483208,126.995144,2동,대림산업㈜,2007,116,개별난방,도시가스,10층,10층,1.64,0,1,65.64,110.9,51.35,84.96,서울시 서초구 방배로13길 18,아파트,1,42.86,23.08,6600,400,0,2,390,0.051282051,0.151282051,0.051282051,apartment_1165010135
서울시 서초구 잠원동 71-17,잠원중앙하이츠(B동),37.51006,127.004806,1동,중앙건설,1998,126,개별난방,도시가스,16층,16층,1,0,1,83.33,104.9,59.93,75.44,서울시 서초구 잠원로3길 20,아파트,1,63.64,50,18472,800,0,3,517,0.143133462,0.123791103,0.032882012,apartment_1165010642
서울시 서초구 방배동 752-36,방배아크로리버,37.497695,126.984444,4동,대림산업(주),2004,222,개별난방,도시가스,25층,24층,1.68,0,0,98.9,174.16,84.74,149.22,서울시 서초구 방배중앙로 207-10,아파트,1,50,38.89,12005,400,1,2,290,0.144827586,0.237931034,0.072413793,apartment_1165010119
서울시 서초구 방배동 797-30,방배e-편한세상3차,37.494386,126.991489,5동,대림산업(주),2006,192,개별난방,도시가스,15층,9층,3.3,0,1,231.63,277.18,198.53,244.87,서울시 서초구 동광로 89-5,아파트,0,63.64,50,155896,500,1,7,517,0.061895551,0.17794971,0.094777563,apartment_1165010126
서울시 서초구 서초동 1334-1,신동아2차,37.490504,127.026042,1동,신동아건설,1979,104,지역난방,열병합,13층,13층,1,0,0,156.46,183.98,144.41,169.55,서울시 서초구 서운로 79,재건축,1,33.33,30,16684,1300,0,2,298,0.087248322,0.174496644,0.097315436,apartment_1165010812
서울시 서초구 서초동 1444-7,서초자이,37.484985,127.020109,4동,지에스건설(주),2006,184,지역난방,열병합,18층,12층,2.09,0,1,106.97,184.32,84.98,148.83,서울시 서초구 효령로68길 81,아파트,1,52.63,41.67,19482,600,1,4,493,0.056795132,0.15821501,0.103448276,apartment_1165010825
서울시 서초구 서초동 1337-3,강남역푸르지오시티(도시형),37.49169,127.028989,1동,(주)대우건설,2014,137,개별난방,도시가스,8층,8층,0.18,0,1,29.4,33.92,20.33,23.45,서울시 서초구 효령로77길 30,아파트,1,32.03,23.86,8868,1300,1,1,825,0.006060606,0.052121212,0.014545455,apartment_1165010816
서울시 서초구 반포동 64-5,현대동궁,37.500412,127.001891,1동,현대산업개발(주),1991,224,지역난방,열병합,15층,9층,1,0,0,82.31,96.28,70.38,82.35,서울시 서초구 사평대로 154,아파트,1,60,50,10692,900,1,9,570,0.085964912,0.135087719,0.068421053,apartment_1165010719
서울시 서초구 방배동 1030-1,삼호한숲,37.477643,126.998746,1동,(주)삼호,1998,116,개별난방,도시가스,15층,5층,1.17,0,1,80.16,139.2,59.98,114.52,서울시 서초구 방배로3길 10-3,아파트,0,50,40,11674,700,0,5,315,0.06984127,0.171428571,0.047619048,apartment_1165010107
서울시 서초구 서초동 1350-13,동원베네스트,37.485282,127.026641,2동,(주)동원이엔씨,2002,126,개별난방,도시가스,15층,11층,1.3,0,0,105.53,142.48,84.9,120.81,서울시 서초구 효령로74길 57,아파트,1,46.15,7.14,8195,800,1,3,341,0.123167155,0.219941349,0.055718475,apartment_1165010821
서울시 서초구 반포동 65-1,신반포궁전,37.500365,127.000569,2동,한신공영,1984,108,지역난방,열병합,10층,10층,0.5,0,1,128.67,225.47,117.11,205.22,서울시 서초구 사평대로 142,아파트,1,50,30.77,23029,900,1,6,331,0.099697885,0.141993958,0.102719033,apartment_1165010720
서울시 서초구 잠원동 61-1,신반포25차,37.51501,127.009547,2동,한신공영,1984,169,지역난방,도시가스,13층,13층,0,0,1,113.97,126.22,84.49,117.06,서울시 서초구 잠원로 136,아파트,1,15.15,4.17,3300,900,1,1,468,0.132478632,0.173076923,0.085470085,apartment_1165010631
서울시 서초구 서초동 1338-1,풍림아이원플러스,37.490473,127.029932,1동,풍림산업(주),2004,200,개별난방,도시가스,15층,13층,0.5,0,0,37.54,55.79,27.64,41.07,서울시 서초구 효령로77길 14,아파트,1,40.6,35.56,2439,1300,0,1,302,#N/A,0.112582781,0,apartment_1165010818
서울시 서초구 우면동 707,서초네이처힐1단지,37.463664,127.019856,10동,(주)태영건설,2012,178,개별난방,도시가스,7층,5층,1.19,0,0,110.25,148.68,84.73,114.71,서울시 서초구 형촌길 35,아파트,1,28.57,20,7376,200,1,4,424,0.096698113,0.181603774,0.063679245,apartment_1165010305
서울시 서초구 양재동 160-2,양재우성KBS(113동),37.477814,127.028942,1동,(주)우성건설,1996,150,개별난방,도시가스,14층,11층,0.64,0,0,102.54,102.54,84.69,84.69,서울시 서초구 바우뫼로 91,아파트,0,40,33.33,16194,800,1,2,429,0.116550117,0.212121212,0.06993007,apartment_1165010202
서울시 서초구 잠원동 65-8,잠원한신그린,37.513292,127.007948,1동,한신공영 주식회사,1993,150,지역난방,LPG,15층,15층,0.9,0,0,96.5,96.5,84.89,84.89,서울시 서초구 신반포로33길 71,아파트,1,38.46,23.53,17719,1000,1,2,453,0.156732892,0.185430464,0.057395143,apartment_1165010637
서울시 서초구 방배동 758-4,삼호2차,37.496151,126.987247,5동,삼호,1976,264,지역난방,열병합,12층,12층,0.37,0,1,137.63,191.79,127.94,179.08,서울시 서초구 방배로43길 2,아파트,1,46.43,25,17507,700,0,1,578,0.143598616,0.193771626,0.034602076,apartment_1165010122
서울시 서초구 서초동 1509-1,서초한빛삼성,37.488406,127.007863,2동,삼성중공업(주),1999,264,개별난방,도시가스,18층,7층,1.36,0,0,84.96,140.87,59.52,110.59,서울시 서초구 서초대로40길 72,아파트,1,62.96,50,4839,500,1,1,670,0.101492537,0.22238806,0.07761194,apartment_1165010835
서울시 서초구 서초동 1316-31,밀라텔쉐르빌(엠쉐르빌),37.498713,127.025064,1동,삼성중공업(주),2001,125,개별난방,도시가스,23층,23층,1.02,0,1,42.38,127.22,32.66,97.98,서울시 서초구 강남대로61길 17,아파트,1,68.8,81.48,4881,1100,0,2,564,0.115248227,0.182624113,0.067375887,apartment_1165010806
서울시 서초구 서초동 1583-10,서초아트자이,37.485687,127.011371,4동,지에스건설(주),2009,164,개별난방,도시가스,25층,20층,3.02,0,1,181.1,336.7,144.31,267.1,서울시 서초구 반포대로 58,아파트,1,40.96,42.31,23265,600,1,4,448,0.109375,0.216517857,0.095982143,apartment_1165010839
서울시 서초구 반포동 46,엠브이,37.49914,127.010255,1동,한보철강공업(주),1994,154,개별난방,도시가스,18층,10층,0.94,0,0,74.52,162.23,59.82,129.93,서울시 서초구 고무래로10길 39,아파트,1,40,41.67,6844,700,0,3,410,0.109756098,0.129268293,0.051219512,apartment_1165010716
서울시 서초구 잠원동 51,잠원훼미리,37.5192,127.01462,3동,한신공영(주),1992,288,지역난방,열병합,18층,15층,2,0,0,101.05,103.17,84.38,84.9,서울시 서초구 잠원로 202-11,아파트,1,47.76,19.23,12293,900,1,2,550,0.156363636,0.165454545,0.047272727,apartment_1165010612
서울시 서초구 방배동 899-16,방배브라운스톤,37.48693,126.995264,3동,이수건설(주),2005,145,개별난방,도시가스,15층,12층,1.34,0,1,94.56,143.07,75.49,114.65,서울시 서초구 서초대로26길 19,아파트,1,47.06,57.14,10747,400,1,7,438,0.130136986,0.187214612,0.043378995,apartment_1165010133
서울시 서초구 서초동 1363-25,한라비발디스튜디오193(도시형),37.485768,127.032051,1동,한라건설(주),2013,149,개별난방,도시가스,12층,11층,0.44,0,1,32.02,63.86,19.8,40.19,서울시 서초구 강남대로39길 15-10,아파트,1,55.81,43.48,11368,600,0,7,576,0.057291667,0.097222222,0.050347222,apartment_1165010823
서울시 서초구 방배동 866-10,방배마에스트로,37.486006,126.983863,1동,(주)한미글로벌건축사사무소,2019,118,개별난방,도시가스,27층,26층,0.66,0,1,38.91,77.44,25.48,51.53,서울시 서초구 서초대로 13,아파트,1,45.35,40.74,11595,600,0,2,509,0.094302554,0.149312377,0.029469548,apartment_1165010129
서울시 서초구 서초동 1359-50,롯데캐슬주피터,37.486377,127.030403,2동,롯데건설,2003,110,개별난방,도시가스,12층,9층,2.62,0,1,110.44,197.29,95.33,172.33,서울시 서초구 서운로6길 15-20,아파트,1,37.04,31.58,22392,800,1,3,323,0.123839009,0.204334365,0.077399381,apartment_1165010822
서울시 서초구 잠원동 53,잠원현대,37.51867,127.012904,2동,현대건설(주),1993,238,지역난방,열병합,19층,7층,0.66,0,0,103.77,103.77,84.87,84.87,서울시 서초구 잠원로12길 4,아파트,1,30,12,8883,900,1,2,746,0.190348525,0.158176944,0.050938338,apartment_1165010614
서울시 서초구 방배동 884-21,방배e-편한세상1차,37.487594,126.999224,3동,대림산업(주),2003,199,개별난방,도시가스,15층,13층,2.71,0,0,201.97,224.85,164.25,188.21,서울시 서초구 서초대로34길 34,아파트,0,31.25,18.18,7860,600,0,7,504,0.049603175,0.150793651,0.111111111,apartment_1165010131
서울시 서초구 방배동 849-30,방배롯데캐슬로제,37.490222,126.99462,4동,롯데건설(주),2009,130,개별난방,도시가스,12층,8층,2.98,0,1,202.76,292.65,172.27,244.48,서울시 서초구 방배로26길 41,아파트,1,47.62,18.18,27799,500,0,6,365,0.071232877,0.263013699,0.095890411,apartment_1165010128
서울시 서초구 방배동 776-3,쌍용예가클래식,37.493705,126.987788,3동,쌍용건설(주),1978,216,지역난방,열병합,12층,12층,0.95,0,0,117.07,177.45,89.84,155.44,서울시 서초구 방배로37길 26-9,아파트,1,23.08,20,15936,400,1,1,685,0.167883212,0.157664234,0.056934307,apartment_1165010125
서울시 서초구 반포동 30-1,삼호가든맨션5차,37.504432,127.011689,3동,삼호,1986,168,지역난방,열병합,14층,14층,2.09,0,0,115.6,179.94,98.64,153.54,서울시 서초구 서초중앙로 242,아파트,1,47.37,38.46,10596,1100,0,2,492,0.180894309,0.182926829,0.083333333,apartment_1165010712
서울시 서초구 잠원동 49-17,신반포18차(337동),37.520054,127.013401,1동,한신공영,1983,182,지역난방,열병합,13층,13층,0.98,0,1,55.63,122.74,50.64,111.75,서울시 서초구 잠원로 195,재건축,1,37.04,18.52,7856,900,0,2,433,0.096997691,0.140877598,0.062355658,apartment_1165010607
서울시 서초구 잠원동 42-13,잠원대우아이빌,37.511452,127.018281,3동,한국구조개발(주),2001,168,개별난방,도시가스,12층,5층,1,0,0,39.6,69.65,27.07,49.06,서울시 서초구 신반포로45길 23,아파트,1,40.43,34.62,6510,700,1,6,414,0,0.144927536,0.041062802,apartment_1165010606
서울시 서초구 서초동 1533,서초한신리빙타워,37.484063,127.009956,1동,한신공영(주),1999,103,개별난방,도시가스,19층,10층,1.58,0,1,56.21,166.85,42.55,126.29,서울시 서초구 효령로 237,아파트,1,52.63,68.75,14719,600,0,3,402,0.124378109,0.194029851,0.059701493,apartment_1165010837
서울시 서초구 방배동 1002-22,삼환나띠르빌,37.4804,127.005188,5동,(주)삼환까뮤,2003,126,개별난방,도시가스,11층,8층,1.26,0,1,105.42,189.26,84.98,148.99,서울시 서초구 명달로 33,아파트,1,52.94,25,13175,900,0,8,358,0.164804469,0.212290503,0.044692737,apartment_1165010101
서울시 서초구 서초동 1529,서초e-편한세상2차,37.486839,127.009015,3동,대림산업(주),2005,159,개별난방,도시가스,15층,8층,1.6,0,0,107.2,152.78,84.67,123.11,서울시 서초구 효령로49길 57,아파트,1,53.85,47.06,17844,600,1,7,485,0.12371134,0.241237113,0.063917526,apartment_1165010836
서울시 서초구 서초동 1445-13,서초쌍용플래티넘,37.484114,127.017169,1동,남광토건(주),2006,109,개별난방,도시가스,21층,20층,3.49,0,1,45.36,107.89,34.67,82.46,서울시 서초구 서초중앙로 18,아파트,1,28.37,23.33,9299,1100,1,3,779,0.02182285,0.132220796,0.037227214,apartment_1165010826
서울시 서초구 서초동 1542-6,현대ESA2,37.491084,127.008524,2동,현대건설,2003,174,중앙난방,도시가스,25층,25층,2.01,0,0,156.01,156.01,136.25,136.25,서울시 서초구 반포대로 122,아파트,1,62.5,59.02,7900,600,0,6,629,0.069952305,0.248012719,0.079491256,apartment_1165010838
서울시 서초구 우면동 712,서초네이처힐2단지,37.462787,127.021688,8동,(주)태영건설,2012,133,개별난방,도시가스,7층,5층,1.15,0,1,78.72,112.2,59.99,84.82,서울시 서초구 형촌길 15,아파트,1,25,20,13502,200,0,5,381,0.186351706,0.162729659,0.044619423,apartment_1165010306
서울시 서초구 잠원동 65-33,신반포22차,37.511665,127.007182,1동,한신공영(주),1983,132,지역난방,열병합,12층,12층,0,0,1,112.73,128.88,104.02,118.9,서울시 서초구 잠원로 86,재건축,1,53.57,35.29,10929,800,0,1,406,0.194581281,0.199507389,0.066502463,apartment_1165010636
서울시 서초구 잠원동 60-6,신반포9차,37.511404,127.010432,2동,한신공영(주),1981,286,지역난방,열병합,12층,12층,0,1,0,81.28,81.28,75.95,75.95,서울시 서초구 신반포로33길 30,재건축,1,80,87.5,6130,1100,1,1,634,0.105678233,0.187697161,0.069400631,apartment_1165010628
서울시 서초구 양재동 90,신영체르니,37.479213,127.041384,1동,한라건설(주),2002,175,개별난방,도시가스,9층,6층,1,0,0,43.79,78.38,32.08,58.21,서울시 서초구 논현로27길 57,아파트,1,51.47,63.89,7670,500,0,1,466,0.038626609,0.178111588,0.055793991,apartment_1165010203
서울시 서초구 방배동 2233,방배현대홈타운3차,37.491898,126.984013,3동,현대건설(주),2004,123,개별난방,도시가스,15층,10층,1.78,0,1,106.36,152.1,84.98,123.34,서울시 서초구 방배중앙로21길 55,아파트,1,38.46,25,13006,400,0,1,376,0.170212766,0.27393617,0.066489362,apartment_1165010111
서울시 서초구 잠원동 58-22,신반포17차,37.510732,127.014117,3동,한신공영(주),1983,216,지역난방,열병합,12층,12층,1,1,1,87.74,162.37,80.4,145.39,서울시 서초구 나루터로4길 49,재건축,1,50,50,1060,700,1,3,634,0.105678233,0.187697161,0.069400631,apartment_1165010622
서울시 서초구 방배동 774-19,현대멤피스,37.494794,126.988645,5동,현대산업개발(주),2001,206,개별난방,도시가스,21층,14층,2.51,0,0,165.14,231.07,133.31,186.53,서울시 서초구 방배로 239,아파트,1,50,53.85,22214,700,1,2,674,0.151335312,0.161721068,0.06379822,apartment_1165010124
서울시 서초구 서초동 1675-11,서초대우아이빌,37.494245,127.017602,1동,(주)대우건설,2003,215,개별난방,도시가스,15층,12층,0.75,0,0,28.03,86.66,21.05,65.08,서울시 서초구 서초대로58길 10,아파트,1,41.67,37.33,8200,900,0,3,500,0.038,0.146,0.042,apartment_1165010847
서울시 서초구 방배동 759-2,삼호3차,37.497511,126.987115,4동,(주)삼호주택,1976,216,지역난방,열병합,12층,12층,0,0,0,153.9,289.36,129.76,257.12,서울시 서초구 방배로45길 2,아파트,1,66.67,63.33,13880,700,1,1,571,0.171628722,0.19614711,0.054290718,apartment_1165010121
서울시 서초구 잠원동 33-11,잠원월드메르디앙,37.512535,127.016299,1동,월드건설주식회사,2002,107,개별난방,도시가스,15층,6층,1.23,0,1,107.46,146.22,84.78,116.42,서울시 서초구 신반포로45길 71,아파트,1,48,14.29,5105,600,0,2,317,0.113564669,0.192429022,0.075709779,apartment_1165010605
서울시 서초구 잠원동 60-78,신반포20차,37.510426,127.011938,1동,한신공영(주),1983,112,지역난방,열병합,14층,14층,0,0,1,155.6,155.6,143.95,143.95,서울시 서초구 나루터로4길 60,아파트,1,50,40,16725,1100,1,1,302,0.07615894,0.165562914,0.125827815,apartment_1165010630
서울시 서초구 서초동 1436-14,서초아이파크,37.485451,127.023009,3동,현대산업개발(주),2003,115,지역난방,열병합,18층,6층,2.6,0,1,147.83,233.92,127.82,192.63,서울시 서초구 효령로68길 33,아파트,1,42.86,40,15233,500,1,2,418,0.14354067,0.150717703,0.064593301,apartment_1165010824
서울시 서초구 방배동 888-53,방배자이,37.486663,126.998886,3동,엘지건설(주),2003,136,개별난방,도시가스,13층,10층,2.77,0,1,185.43,218.51,164.96,194.92,서울시 서초구 방배로18길 67,아파트,0,64.71,44.44,17100,600,0,8,365,0.043835616,0.161643836,0.101369863,apartment_1165010132
서울시 서초구 반포동 591-1,강남원효성,37.495959,126.996082,16동,가나 건축사사무소,1984,107,개별난방,도시가스,3층,1층,0,0,1,152.76,254.39,146.04,216,서울시 서초구 사평대로20길 76,아파트,0,60,50,18028,500,1,9,506,0.138339921,0.162055336,0.090909091,apartment_1165010722
서울시 서초구 방배동 930-1,방배브라운가,37.48349,126.9918,2동,흥화공업(주),2006,161,개별난방,도시가스,13층,10층,1.35,0,0,105.93,156.43,84.85,124.67,서울시 서초구 방배로19길 67,아파트,0,50,38.46,13203,400,0,7,477,0.115303983,0.182389937,0.075471698,apartment_1165010136
